name age iq
sub-02 36 104
sub-03 43 108
sub-04 25 106
sub-05 52 102
sub-06 23 104
sub-07 38 100
sub-08 22 98
sub-09 57 112
sub-10 36 71
sub-11 32 102
sub-12 51 93
sub-13 21 87
sub-14 26 100
sub-15 21 100
sub-17 51 110
sub-19 60 102
sub-20 53 108
sub-21 42 108
sub-22 58 98
sub-23 33 104
sub-24 64 114
sub-25 53 106
sub-26 38 87
sub-27 31 106
sub-29 38 108
sub-30 45 85
sub-32 43 104
sub-33 55 102
sub-34 41 112
sub-36 51 100
sub-37 48 89
sub-38 42 114
sub-40 41 106
sub-42 45 106
sub-43 41 100
sub-44 50 95
sub-45 61 98
sub-46 43 108
sub-47 58 83
sub-48 47 106
sub-49 37 104
sub-50 53 114
sub-53 48 98
sub-54 35 104
sub-55 44 93
sub-56 37 87
sub-57 40 98
sub-58 32 104
sub-59 25 116
sub-60 32 97
sub-61 31 93
sub-62 52 106
sub-63 19 93
sub-64 34 100
sub-65 60 110
sub-66 44 104
sub-67 52 85
sub-68 24 102
sub-69 48 102
sub-70 44 106
sub-71 66 98
sub-72 64 89
sub-73 20 73
sub-74 42 114
sub-75 32 98
sub-76 39 98
sub-77 41 97
